5078068
/m/0d1q2p
/m/0d1q2p
Marcus Clarke
suspicions 1
swag 1
swim 1
sworn 1
sydney 2
sylvia 23
taken 2
takes 3
taking 1
tale 1
talked 1
talking 1
target 1
tasmania 2
tell 1
telling 1
tells 3
ten 1
test 1
than 3
that 25
the 135
their 7
them 6
there 3
therefore 1
they 5
thinking 1
this 5
threaten 1
threatens 2
three 2
through 2
thunderstruck 1
time 3
to 92
told 3
too 1
tools 1
transportation 1
treating 1
treatment 2
trial 1
triangle 1
tried 1
tries 2
true 3
turns 1
twice 1
two 4
understands 2
understood 1
unfriendliness 1
unhappy 1
unsuccessful 1
until 1
up 2
upon 3
upsetting 1
used 2
van 1
vessel 5
vetch 4
vices 1
vickers 9
victim 1
violence 1
visits 2
voyage 1
walking 1
wanted 1
warder 2
warn 1
was 5
way 1
ways 1
weary 3
weeks 1
went 1
whaling 1
what 1
when 5
where 2
which 5
while 2
who 16
whom 1
whose 1
wife 3
will 3
win 1
with 14
without 1
witness 1
witnesses 1
witnessing 1
woman 1
words 2
would 2
wounded 1
wounding 1
writing 1
years 2
young 2
