25305042
/m/09gp673
/m/09gp673
Edith Pargeter
sleep 4
sleeps 1
solitary 1
someone 1
son 9
soon 2
south 2
speed 1
sponsor 1
st 3
stabs 1
stacks 1
staff 1
stafford 1
standing 1
stay 1
stays 1
steals 1
stephen 3
stiff 1
still 1
stilldetermined 1
story 1
strangles 1
strengthen 1
studies 2
stumbled 1
stunningly 1
successful 1
suggest 1
suggests 2
summer 1
superstitious 1
swears 1
take 2
taken 3
taking 3
talk 1
tall 1
tell 1
tells 1
ten 2
tended 1
tends 1
term 1
terrify 1
than 1
that 28
the 135
their 6
them 1
then 2
there 1
these 1
they 7
this 5
those 1
through 1
thunderbolt 2
thus 1
tied 1
time 4
times 1
to 72
together 2
told 2
tomboy 1
took 1
town 1
traded 1
traditionally 1
travelling 1
treason 1
tried 1
troubled 1
true 2
trying 1
twin 1
two 10
unburned 1
undercut 1
unexpected 1
unique 1
unneeded 1
unsettling 1
until 1
up 5
upon 1
upright 1
urges 1
used 1
useful 1
valued 1
verge 1
villein 2
visit 5
visiting 1
visitor 1
visits 3
vows 1
wait 1
wakes 1
waking 1
walk 1
walks 1
wanting 1
war 1
ward 1
was 12
way 1
weak 1
wedding 1
well 1
went 1
were 3
what 1
whatever 1
when 8
where 6
whereabouts 1
whether 2
which 2
while 1
whipped 1
whisper 1
whistling 1
whitchurch 1
who 3
whose 3
wife 1
wild 1
will 11
william 2
winchester 1
wished 1
with 17
without 1
witness 2
woman 3
womanhood 1
wood 1
woods 1
woodstack 1
world 1
would 3
wounds 2
year 2
yet 2
you 2
young 2
younger 4
